country,country_number
Jordan,0
Brazil,1
Kazakhstan,2
Singapore,3
Serbia,4
Macau,5
Namibia,6
Tunisia,7
Japan,8
Guatemala,9
Poland,10
Switzerland,11
Iraq,12
Ukraine,13
Mexico,14
Georgia,15
Bangladesh,16
Sweden,17
South Africa,18
Uzbekistan,19
Paraguay,20
Austria,21
Turkey,22
Hungary,23
Bahrain,24
Bosnia and Herzegovina,25
Peru,26
United Arab Emirates,27
Laos,28
Maldives,29
Nepal,30
Denmark,31
Belgium,32
New Zealand,33
Bolivia,34
Australia,35
Germany,36
Chile,37
Palestine,38
China,39
Syria,40
Slovakia,41
Vietnam,42
Brunei,43
Slovenia,44
Dominican Republic,45
Croatia,46
Faroe Islands,47
Cambodia,48
Norway,49
Israel,50
Lithuania,51
Malaysia,52
Other,53
Panama,54
Libya,55
France,56
Algeria,57
Turkmenistan,58
Kuwait,59
Canada,60
Argentina,61
Bulgaria,62
Egypt,63
Myanmar,64
Taiwan,65
Uruguay,66
Spain,67
Montenegro,68
Iceland,69
Malta,70
Lebanon,71
Ireland,72
Kyrgyzstan,73
Morocco,74
Philippines,75
Indonesia,76
Ecuador,77
India,78
Costa Rica,79
Czech Republic,80
Saudi Arabia,81
Finland,82
Korea,83
Thailand,84
United Kingdom,85
Russia,86
Latvia,87
Greece,88
Qatar,89
Netherlands,90
Colombia,91
Albania,92
United States,93
Romania,94
Pakistan,95
Italy,96
Portugal,97
Macedonia,98
Estonia,99
Hong Kong,100
Belarus,101
Sri Lanka,102
Cyprus,103
Azerbaijan,104
Venezuela,105
Armenia,106
Moldova,107
Mongolia,108
Iran,109
Luxembourg,110
El Salvador,111
