match_id,team_1,team1_rank,team2_rank,team_2,map_1,map_1_winner,match_winner,player_1_team_1_rating,player_1_team_1,player_1_team_2_rating,player_1_team_2,player_2_team_2_rating,player_2_team_2,player_3_team_2_rating,player_3_team_2,player_4_team_2_rating,player_4_team_2,player_2_team_1_rating,player_2_team_1,player_5_team_2_rating,player_5_team_2,player_3_team_1_rating,player_3_team_1,player_4_team_1_rating,player_4_team_1,player_5_team_1_rating,player_5_team_1,map_2,map_2_winner,map_3,map_3_winner,map_4,map_4_winner,map_5,map_5_winner
2299001,1336,6,12,331,1,1,1,1.51,690,0.51,6700,0.47,408,0.69,2216,0.69,11645,0.72,6445,0.62,4352,1.35,3512,1.53,2726,1.87,9007,,,,,,,,
2299003,1336,6,1,85,7,1,1,0.84,690,0.81,3914,0.54,11706,0.81,11765,1.0,6387,1.42,6445,1.09,7146,0.68,3512,1.77,2726,0.72,9007,,,,,,,,
2299011,1448,10,14,1008,6,1,1,0.98,9208,0.55,4484,0.8,996,1.0,6591,1.05,8686,0.62,5526,0.97,3639,1.58,4526,1.03,8576,1.15,4838,,,,,,,,
2299040,1448,10,9,609,3,2,2,0.44,9208,1.34,1125,1.94,11769,0.81,3514,1.52,7474,0.4,5526,1.14,7517,1.08,4526,0.6,8576,0.4,4838,,,,,,,,
2299042,1008,14,9,609,7,1,1,1.08,4484,0.99,1125,0.53,11769,0.61,3514,0.37,7474,1.13,996,0.82,7517,1.7,6591,1.06,8686,1.57,3639,,,,,,,,
2299057,505,18,19,719,4,1,1,1.1,4814,0.47,1496,0.73,10889,0.74,5560,0.66,4571,0.89,7864,0.95,3191,1.63,10426,1.04,2941,1.76,7051,1.0,1.0,,,,,,
2299059,1028,7,16,218,3,2,2,0.78,4726,1.14,350,1.12,6449,0.91,3047,1.13,9131,1.14,245,0.78,11298,1.09,10595,0.86,4070,1.0,7962,6.0,2.0,2.0,1.0,,,,
2299068,917,8,10,1448,3,2,2,1.02,5661,1.01,9208,1.06,5526,0.66,4526,0.95,8576,0.52,6729,1.61,4838,0.78,5946,0.89,9295,1.48,5790,,,,,,,,
2299077,1138,11,9,609,3,2,2,0.54,9545,0.76,1125,1.43,11769,1.51,3514,1.4,7474,0.86,7596,1.22,7517,0.68,8224,0.81,6502,0.98,2645,7.0,2.0,,,,,,
2299078,706,5,13,489,4,2,2,0.59,2934,1.49,3342,1.48,7776,0.86,6742,0.75,10275,1.12,9319,1.36,3810,0.76,7473,0.76,3335,0.7,2647,5.0,2.0,,,,,,
2299079,1008,14,12,331,1,2,2,0.65,4484,0.97,6700,1.12,408,1.24,2216,0.94,11645,0.61,996,0.99,4352,0.88,6591,1.03,8686,1.25,3639,7.0,2.0,,,,,,
