player_name,country_number
Brehze,106
CeRq,27
EliGE,106
Ethan,106
NAF,49
Stewie2K,106
Twistzz,49
nitr0,106
stanislaw,49
tarik,106
ALEX,108
NiKo,17
RpK,31
ZywOo,31
apEX,31
broky,81
coldzera,95
olofmeister,41
rain,36
shox,31
AmaNEk,31
JaCkz,31
chrisJ,58
frozen,38
huNter-,40
karrigan,88
kennyS,31
nexa,40
ropz,82
woxic,68
Boombl4,8
Lekr0,41
Perfecto,8
Plopski,41
REZ,41
electronic,8
flamie,8
nawwk,41
s1mple,102
twist,41
AdreN,75
Bubzkji,88
HUNDEN,88
Jame,8
SANJI,28
acoR,88
buster,75
qikert,75
roeJ,88
sjuush,88
AZR,15
Attacker,62
Freeman,79
Gratisfaction,61
Liazz,15
Summer,62
jkaem,36
jks,15
somebody,62
xeta,44
Andersin,106
FrostayK,106
Inseaniac,49
JonahP,49
PureR,106
Sharkie,106
rabbit,106
shonk,106
sterling,61
zeptic,106
J0LZ,49
KOLER,49
MAC-1,106
Melio,49
Wolfy,15
riku,106
robby,106
stellar,106
tENSKI,49
thief,106
AAustiN,106
Hunter,106
JazzPimp,106
Junior,106
Reality,106
leaf,106
mada,49
nosraC,106
penny,49
zander,106
C0M,106
Daveys,5
Keiti,106
Polen,106
fl0m,106
k1Nky,103
malbsMd,105
sam_A,5
spamzzy1,5
zNf,106
Bwills,106
FaNg,49
Sneaky,106
Xeppaa,106
ben1337,106
cam,106
curry,106
smooya,46
steel,95
vanity,106
648,6
Chuky,6
Folo,12
KATAKURI,12
Metaltree,12
Porky,12
dav1d,84
elemeNt,84
restikk,6
shevi,12
D1E,84
Owen$inhoM,6
Tio,84
akz,84
dieg1,6
fara,84
nawi,6
nvR,6
rochet,84
tom1,6
Fross,84
bit,95
keznit,84
knarf,106
max,45
rezults,84
suther,84
try,6
vicktor,84
xand,95
KUN,6
LEEROY,84
PREDI,6
bichop,6
jnf,45
jotti,6
kary,6
laser,75
nhl,6
peqexino,6
Goofy,67
MINISE,67
Sobol,67
ZOREE,74
darko,67
doto,74
hoody,74
lunAtic,67
sAw,74
sLowi,74
ANGE1,102
AiyvaN,102
Flarich,81
crush,102
nukkye,53
EasTor,108
loWel,108
mopoz,108
FREDDyFROG,41
PlesseN,41
Relaxa,41
Spiidi,25
denis,25
dezon,41
djL,41
dycha,67
faveN,25
oskar,39
AsLanMashadoW,68
Davidp,24
HS,82
NaToSaphiX,88
TENZKI,88
ayken,25
cromen,36
devoduvek,31
imoRR,68
mixwell,108
Jyo,82
NickelBack,8
WorldEdit,8
YEKINDAR,81
boX,48
dimasick,75
lollipop21k,48
mds,48
speed4k,8
wayLander,8
Chub,15
JD,44
Jinxx,15
Mayker,15
SkulL,15
apocdud,15
pz,15
smooth_criminal22,15
stat,15
swede,15
Jim^,15
Koro,88
Rackem,15
jtr,61
mal,15
micalis,30
ruokcj,15
vanilla,67
xertz,15
1ukey,15
bedonka,15
ekul,15
ino,15
urbz,15
Doom,15
DuckyPanic,15
Fluent Swede,15
J1rah,15
Magnum,61
