team_name,team_number
Power Ace,0
warmup,1
Shooting Monkeys,2
AWTR,3
NGA.G,4
Galatics,5
Athletico,6
Merciless,7
RJ Absolute,8
InControl,9
CLG Academy,10
Pnda,11
Risky,12
Above the Rest,13
eL'quvet,14
Premier Rejects,15
volgare,16
TinderklubeN,17
2KILL,18
OneWay,19
2K,20
Sensei,21
ex-Genuine,22
TradeMarc,23
Acapella,24
ImmuNe ,25
EMASTERS,26
SMAZING,27
Saskatoon Warriors,28
Wise,29
Dragons,30
EDG,31
Rão,32
Nevermad,33
Kings,34
KOVA,35
MK,36
HEY,37
Riot fe,38
9z,39
Champagne SuperNova,40
EGOBOYZ,41
FlipSid3 Academy,42
Sabertooth,43
Property fe,44
2990,45
ArkAngel,46
Conspiracy,47
ex-Tempo Storm,48
Will to Win,49
Lyngby Vikings,50
Trumps Anime,51
ATB,52
Monstars,53
Shadows,54
Justice,55
Kaliber,56
SMC,57
k0pfsache,58
Dogs of War,59
iGame.com,60
TEAM5,61
FGE,62
Oserv,63
CSGO-MDL,64
AliGon,65
Chris and the boys,66
The Quest,67
XUXAN,68
Imperio Multimedia,69
MAC-51,70
slashLEVEL,71
Bee's Money Crew,72
seadoggs,73
Bunkergg,74
CL4NLESS,75
m1x,76
Outlaws,77
Splyce,78
FaZe,79
BLITZKRIEG,80
HG,81
TEAM1231,82
Odense,83
onestop,84
Japaleno,85
Ukraine,86
FootGang,87
MAJESTY,88
Muffin Lightning,89
Energy Pacemaker,90
Dippers,91
Giants,92
Vilay,93
ex-NSPR,94
Copenhagen Flames,95
Kazek,96
Astralis,97
timbermen,98
Energy,99
Evil Geniuses,100
Ambush,101
Incept,102
Skyfire,103
Brewtopia,104
Conquest,105
Holo,106
Neolution Lelix,107
GoldenGitte,108
Just Swing,109
Worst Players,110
NONAME,111
Force of Modem,112
LLG,113
Revolte,114
RB,115
Sharks,116
Riotous Academy,117
TQM,118
Jaguar,119
VG.CyberZen,120
Really Old People,121
Talon,122
Quest,123
PACT,124
Jordan's Money Crew,125
INFURITY,126
Marskalk,127
Insidious,128
SILENT,129
ex-Luminosity,130
Maple,131
CSGL,132
Valorix,133
Gale Force,134
Nface,135
Quadruno,136
DZVER,137
Wizards,138
Old Guys Club,139
ATK,140
Liquid,141
sAw,142
Let's Quit,143
Selfless,144
ex-Royal Bandits,145
DICKHOUSE,146
OneThree,147
GrayToad,148
Legacy,149
PUGSTAR5,150
Brasil Gaming House,151
Vikings,152
QuackPack,153
Syman,154
Exile5,155
Legend,156
greedisgood,157
KAV0,158
Dark Origin,159
Updraft,160
ex-Iceberg,161
Rebels,162
a-game raise,163
RES,164
ANIMALS,165
Coscu Army,166
Team123,167
Epsilon,168
Limitless,169
Tundra,170
Metapods,171
Vaevictis,172
Aequus,173
Bring It On,174
aimclub,175
Hafnet,176
Not Academy,177
RED Canids,178
Impossible,179
Evidence,180
Lazarus,181
exDT,182
SHIFT,183
T.O.T,184
Finesse,185
Planetkey,186
Breakaway,187
Geostorm,188
X,189
5balls,190
DedSet,191
Bravado,192
UTM,193
GX,194
Stay Frosty,195
ARES,196
Supernova,197
Eclipse.o,198
eGeneration,199
Alpha Sydney,200
Falkol,201
FULL SEND,202
Front,203
MVP Project,204
KUURA,205
No Tenemos Nada,206
HegemonyPerson,207
ex-Vizard,208
North Academy,209
CSGO2x,210
SlashCry,211
kinetic,212
Rofed,213
Santos,214
SFT,215
MeMyself&I,216
HEXAGONE,217
rewound,218
Ajax,219
Orbit fe,220
Phoenix,221
Aperture,222
Entity,223
White Rabbit,224
Turma do Pagode,225
ex-eUnited,226
Nitrious,227
Impulse,228
Spirit,229
Area08 fe,230
Sangal,231
Mock-it,232
Tricksters,233
F1-racecar-PEEK,234
Isurus,235
Bravos,236
Indonesia,237
ex-Fragsters,238
Infamous,239
Dai Dai,240
Vitality,241
